@RELATION 'training_allmaps'

@ATTRIBUTE distNorth NUMERIC
@ATTRIBUTE distSouth NUMERIC
@ATTRIBUTE distEast NUMERIC
@ATTRIBUTE distWest NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE NearestFood NUMERIC
@ATTRIBUTE lastMove {North,South,East,West,Stop}

@data
3,5,5,3,382,381,15,North
4,4,4,2,381,380,14,West
2,2,2,0,380,579,15,West
9,11,9,11,579,578,16,North
9,11,9,11,578,577,15,North
99999,9,7,9,577,576,14,East
99999,7,5,7,576,575,13,East
5,7,7,7,575,574,12,North
5,7,7,99999,574,573,13,North
3,5,5,3,573,572,14,North
99999,11,11,13,0,-1,2,South
12,10,10,12,-1,98,1,East
11,9,9,11,98,197,1,East
10,8,8,10,197,296,1,East
9,7,7,9,296,395,1,South
8,6,6,8,395,494,1,South
7,5,5,7,494,593,1,East
6,4,4,6,593,692,1,East
5,3,3,5,692,791,1,East
4,2,2,4,791,890,1,South
3,1,1,3,890,989,1,East
2,0,2,2,989,1188,1,South
7,5,7,5,1188,1287,1,West
6,4,6,4,1287,1386,1,South
5,3,5,3,1386,1485,1,West
4,2,4,4,1485,1484,1,South
3,1,3,3,1484,1483,1,South
2,0,2,2,1483,1682,1,South
18,99999,18,20,1682,1781,1,East
17,99999,17,19,1781,1880,1,North
16,18,16,18,1880,1979,1,East
15,17,15,17,1979,2078,1,East
14,16,14,16,2078,2177,1,North
13,15,13,15,2177,2176,1,North
12,14,12,14,2176,2275,1,North
11,13,11,13,2275,2374,1,North
10,12,10,12,2374,2373,2,North
9,11,9,11,2373,2472,1,North
8,10,8,10,2472,2571,1,North
7,9,7,9,2571,2570,1,North
99999,8,6,8,2570,2569,2,East
99999,7,5,7,2569,2568,3,East
99999,6,4,6,2568,2567,2,East
99999,5,3,5,2567,2566,1,East
99999,4,2,4,2566,2665,1,East
99999,3,1,3,2665,2764,1,East
99999,2,0,2,2764,2963,2,East
99999,5,5,7,2963,3062,1,East
99999,4,4,6,3062,3161,1,South
5,3,3,5,3161,3260,1,East
4,2,2,4,3260,3359,1,East
3,1,3,3,3359,3458,1,South
99999,11,11,13,0,-1,2,South
11,9,9,11,-1,98,1,East
9,7,7,9,98,197,1,East
8,6,6,8,197,296,1,East
6,4,4,6,296,395,1,South
5,3,3,5,395,494,1,South
5,3,3,5,494,593,1,East
3,1,1,3,593,692,1,East
3,1,3,1,692,691,1,South
3,3,3,1,691,690,1,West
2,2,2,0,690,989,1,West
7,5,5,7,989,1088,1,South
7,5,5,7,1088,1187,1,South
6,4,4,6,1187,1286,1,East
4,2,2,4,1286,1385,1,East
4,2,4,2,1385,1384,1,South
4,2,4,2,1384,1383,1,South
2,4,4,2,1383,1382,1,North
2,2,2,0,1382,1581,1,West
14,16,14,16,1581,1580,1,North
14,14,12,14,1580,1579,2,East
12,12,10,12,1579,1678,1,East
12,12,10,12,1678,1677,1,East
11,11,9,11,1677,1676,1,East
10,10,8,10,1676,1675,1,East
8,10,8,10,1675,1674,2,North
10,8,8,10,1674,1673,1,South
9,9,7,9,1673,1672,2,East
7,7,5,7,1672,1671,2,East
5,5,3,5,1671,1670,1,East
4,4,2,4,1670,1769,1,East
2,4,2,4,1769,1868,1,East
2,4,2,4,1868,1967,1,East
2,4,2,4,1967,2066,1,East
2,4,4,4,2066,2165,1,North
2,4,2,4,2165,2264,1,East
2,4,2,4,2264,2363,1,East
0,2,2,2,2363,2662,1,North
2,4,4,2,2662,2761,1,West
2,4,2,4,2761,2760,1,North
99999,6,6,99999,0,-1,14,South
7,5,99999,99999,-1,-2,13,South
6,6,4,99999,-2,-3,12,East
99999,5,3,5,-3,-4,11,East
99999,4,2,4,-4,-5,10,East
99999,3,1,3,-5,-6,9,East
2,2,0,2,-6,193,8,East
3,5,5,5,193,192,7,North
2,4,99999,4,192,191,8,North
99999,3,1,3,191,190,9,East
99999,99999,0,2,190,389,8,East
99999,99999,10,11,389,388,7,East
99999,99999,9,11,388,387,6,East
99999,8,8,10,387,386,5,South
9,7,7,99999,386,385,4,South
8,7,6,7,385,384,3,East
7,99999,5,7,384,383,4,East
99999,4,4,6,383,382,3,South
5,3,3,99999,382,381,4,South
4,99999,2,99999,381,380,3,East
3,99999,1,3,380,379,4,East
2,0,2,2,379,578,3,South
10,8,99999,99999,578,577,4,South
9,9,9,7,577,576,5,West
99999,8,8,6,576,575,4,West
99999,99999,7,5,575,574,3,West
99999,6,6,4,574,573,2,West
5,5,5,3,573,572,1,West
4,4,4,2,572,571,2,West
3,3,3,1,571,570,3,West
99999,6,6,99999,0,-1,14,South
6,6,99999,99999,-1,-2,13,North
99999,6,4,99999,-2,-3,14,East
99999,99999,2,4,-3,-4,13,East
99999,99999,1,3,-4,-5,12,East
99999,99999,1,3,-5,-6,11,East
99999,1,3,3,-6,-7,10,South
3,1,1,99999,-7,192,9,South
5,7,5,7,192,191,8,North
5,7,5,99999,191,190,9,North
99999,6,4,6,190,189,10,East
99999,4,2,4,189,188,9,East
99999,99999,0,2,188,387,8,East
99999,99999,12,12,387,386,7,East
99999,99999,10,12,386,385,6,East
99999,10,12,12,385,384,5,South
10,8,10,99999,384,383,4,South
8,6,8,6,383,382,3,South
7,5,99999,5,382,381,2,South
5,3,99999,3,381,480,1,South
5,3,99999,3,480,479,8,South
5,3,5,3,479,478,9,South
4,4,4,2,478,477,10,West
3,3,3,1,477,476,11,West
2,2,2,0,476,675,12,West
