@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R21

@attribute pacPosX numeric
@attribute pacPosY numeric
@attribute pacMovesN {0,1}
@attribute pacMovesS {0,1}
@attribute pacMovesE {0,1}
@attribute pacMovesW {0,1}
@attribute pacMovesSTOP {0,1}
@attribute ghostPosX1 numeric
@attribute ghostPosY1 numeric
@attribute ghostPosX2 numeric
@attribute ghostPosY2 numeric
@attribute ghostPosX3 numeric
@attribute ghostPosY3 numeric
@attribute ghostPosX4 numeric
@attribute ghostPosY4 numeric
@attribute LivingGhost1 {0,1}
@attribute LivingGhost2 {0,1}
@attribute LivingGhost3 {0,1}
@attribute LivingGhost4 {0,1}
@attribute Score numeric
@attribute NearestFood numeric
@attribute lastMove {North,South,East,West,Stop}

@data
1,13,1,1,0,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-10,99999,South
1,12,1,1,1,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-11,99999,South
1,11,1,1,0,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-12,99999,South
1,10,1,1,0,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-13,99999,South
1,9,1,1,0,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-14,99999,South
1,8,1,1,0,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-15,99999,South
1,7,1,1,0,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-16,99999,South
1,6,1,1,1,0,1,5,9,11,3,17,6,25,7,1,1,1,1,-17,99999,East
2,6,0,1,1,1,1,5,9,11,3,17,6,25,7,1,1,1,1,-18,99999,East
3,6,1,1,1,1,1,5,9,11,3,17,6,25,7,1,1,1,1,-19,99999,East
4,6,1,1,1,1,1,5,9,11,3,17,6,25,7,1,1,1,1,-20,99999,East
5,6,1,1,1,1,1,5,9,11,3,17,6,25,7,1,1,1,1,-21,99999,North
5,7,1,1,1,1,1,5,9,11,3,17,6,25,7,1,1,1,1,-22,99999,North
5,8,1,1,1,1,1,5,9,11,3,17,6,25,7,1,1,1,1,-23,99999,North
5,9,1,1,1,1,1,1,1,11,3,17,6,25,7,0,1,1,1,176,99999,South
